distance;num_qubits;representation;num_run;upper_bound_cost;custom_cost
3;9;Concatenated;0;4.564348191467836;2.302585092994046
3;9;Rotated Surface;0;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;0;27.8506995888539;5.402677381872279
3;7;Hamming MSP (non-degenerate);0;131.03558879194875;8.55371796609861
5;25;Concatenated;0;6.461468176353717;3.828641396489095
5;25;Rotated Surface;0;62.62192145368841;8.316789127071518
5;30;Rectangular Surface;0;68.78371132257354;7.837554360881084
5;31;Hamming MSP (non-degenerate);0;702.8669894447527;37.997633354686876
7;49;Concatenated;0;8.18423477409482;5.247024072160486
7;49;Rotated Surface;0;122.70279931618032;10.282129446600417
7;56;Rectangular Surface;0;137.25889010782277;11.376739122511914
7;127;Hamming MSP (non-degenerate);0;3458.127032170535;197.15698554054305
3;24;Holographic;0;27.191351980566335;9.079320109537779
3;94;Holographic;0;135.17944481850841;17.82596446866365
3;354;Holographic;0;669.5959247853095;30.805725902787138
-1;18;BB MSP (degenerate);0;179.94633322917082;16.09205778892553
-1;30;BB MSP (degenerate);0;844.2690142789818;32.944917115580964
-1;72;BB MSP (degenerate);0;1963.0262290129672;89.56657816450509
-1;144;BB MSP (degenerate);0;3909.366090884546;128.770756616339
3;9;Concatenated;0;4.564348191467836;2.302585092994046
3;9;Rotated Surface;0;23.019062526378313;4.804021044733257
3;9;Concatenated;0;4.564348191467836;2.302585092994046
3;9;Rotated Surface;0;23.019062526378313;4.804021044733257
3;9;Concatenated;0;4.564348191467836;2.302585092994046
3;9;Rotated Surface;0;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;0;29.12780973464353;5.560681631015528
3;7;Hamming MSP (non-degenerate);0;135.17944475890351;8.577347114235984
3;9;Concatenated;1;4.564348191467836;2.302585092994046
3;9;Rotated Surface;1;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;1;31.34017801240791;5.811140992976701
3;7;Hamming MSP (non-degenerate);1;135.17944522829177;8.60557030203365
3;9;Concatenated;2;4.564348191467836;2.302585092994046
3;9;Rotated Surface;2;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;2;31.34017801240791;5.811140992976701
3;7;Hamming MSP (non-degenerate);2;135.17944522828998;8.496582237512113
3;9;Concatenated;3;4.564348191467836;2.302585092994046
3;9;Rotated Surface;3;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;3;29.259078035249416;5.497168225293202
3;7;Hamming MSP (non-degenerate);3;135.17944856534254;8.707152175339404
3;9;Concatenated;4;4.564348191467836;2.302585092994046
3;9;Rotated Surface;4;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;4;29.12780973464353;5.560681631015528
3;7;Hamming MSP (non-degenerate);4;127.54686552223299;8.30943074214033
3;9;Concatenated;5;4.564348191467836;2.302585092994046
3;9;Rotated Surface;5;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;5;27.8506995888539;5.402677381872279
3;7;Hamming MSP (non-degenerate);5;127.54784893299424;8.675222055641148
3;9;Concatenated;6;4.564348191467836;2.302585092994046
3;9;Rotated Surface;6;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;6;27.8506995888539;5.402677381872279
3;7;Hamming MSP (non-degenerate);6;127.54687898069119;8.895903562215581
3;9;Concatenated;7;4.564348191467836;2.302585092994046
3;9;Rotated Surface;7;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;7;29.12780973464353;5.560681631015528
3;7;Hamming MSP (non-degenerate);7;127.54687874412437;8.53817159780143
3;9;Concatenated;8;4.564348191467836;2.302585092994046
3;9;Rotated Surface;8;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;8;29.12780973464353;5.560681631015528
3;7;Hamming MSP (non-degenerate);8;135.17944522829177;8.608495349823023
3;9;Concatenated;9;4.564348191467836;2.302585092994046
3;9;Rotated Surface;9;23.019062526378313;4.804021044733257
3;12;Rectangular Surface;9;29.12780973464353;5.560681631015528
3;7;Hamming MSP (non-degenerate);9;127.54687874412438;8.353025845202325
5;25;Concatenated;0;6.461468176353717;3.828641396489095
5;25;Rotated Surface;0;64.48038730225159;8.04237800517328
5;30;Rectangular Surface;0;68.78371132257354;7.837554360881084
5;31;Hamming MSP (non-degenerate);0;715.3436386948317;42.116752545226916
5;25;Concatenated;1;6.461468176353717;3.828641396489095
5;25;Rotated Surface;1;68.63731923148599;7.8928255262511176
5;30;Rectangular Surface;1;68.78371132257354;7.837554360881084
5;31;Hamming MSP (non-degenerate);1;704.9464309864326;41.94539195525703
5;25;Concatenated;2;6.461468176353717;3.828641396489095
5;25;Rotated Surface;2;68.6373192314717;7.945909598613133
5;30;Rectangular Surface;2;68.78371132257354;7.837554360881084
5;31;Hamming MSP (non-degenerate);2;696.6286648197132;36.65971623412112
5;25;Concatenated;3;6.461468176353717;3.828641396489095
5;25;Rotated Surface;3;58.36127971769678;7.955775781534187
5;30;Rectangular Surface;3;68.78371132257354;7.837554360881084
5;31;Hamming MSP (non-degenerate);3;700.7875479030874;46.73726061056418
5;25;Concatenated;4;6.461468176353717;3.828641396489095
5;25;Rotated Surface;4;64.47846659911846;7.579678823090456
5;30;Rectangular Surface;4;68.78371132257354;7.837554360881084
5;31;Hamming MSP (non-degenerate);4;667.5167273470248;30.16526547060534
5;25;Concatenated;5;6.461468176353717;3.828641396489095
5;25;Rotated Surface;5;62.62192145368841;8.316789127071518
5;30;Rectangular Surface;5;68.78371132257354;7.837554360881084
7;49;Concatenated;0;8.18423477409482;5.247024072160486
7;49;Rotated Surface;0;118.54391629882632;10.44592811567137
7;56;Rectangular Surface;0;137.25889010782277;11.132952649623
7;49;Concatenated;1;8.18423477409482;5.247024072160486
7;49;Rotated Surface;1;122.70279932351448;10.390225380773028
7;56;Rectangular Surface;1;133.100041295628;11.047041338907707
7;49;Concatenated;2;8.18423477409482;5.247024072160486
7;49;Rotated Surface;2;122.7027993160639;10.719338973071524
7;56;Rectangular Surface;2;131.02254292967248;10.775700997169356
7;49;Concatenated;3;8.18423477409482;5.247024072160486
7;49;Rotated Surface;3;126.86168239943791;10.43429225861743
7;56;Rectangular Surface;3;137.25889010782277;11.376739122511914
7;49;Concatenated;4;8.18423477409482;5.247024072160486
7;49;Rotated Surface;4;122.70279931618235;10.378665273055592
7;56;Rectangular Surface;4;137.25889010782277;10.47847037474543
7;49;Concatenated;5;8.18423477409482;5.247024072160486
7;49;Rotated Surface;5;122.70279931618211;10.169767218727474
7;56;Rectangular Surface;5;133.100037540657;11.131811447725894
7;49;Concatenated;6;8.18423477409482;5.247024072160486
7;49;Rotated Surface;6;126.86168239943791;10.59438219804278
7;56;Rectangular Surface;6;137.25889010782277;10.47847037474543
7;49;Concatenated;7;8.18423477409482;5.247024072160486
7;49;Rotated Surface;7;126.86168239943791;10.636384152613356
7;56;Rectangular Surface;7;137.25889010782277;10.47847037474543
7;49;Concatenated;8;8.18423477409482;5.247024072160486
7;49;Rotated Surface;8;126.86168239943791;10.490996401073076
7;56;Rectangular Surface;8;137.25889010782277;11.376739122511914
7;49;Concatenated;9;8.18423477409482;5.247024072160486
7;49;Rotated Surface;9;126.86168239943791;10.43429225861743
7;56;Rectangular Surface;9;137.25889010782277;11.376739122511914
9;81;Concatenated;0;9.821843563495618;6.641182169740591
9;81;Rotated Surface;0;201.72157789991223;13.072277774516369
9;90;Rectangular Surface;0;216.27766869167107;14.081810145802251
9;81;Concatenated;1;9.821843563495618;6.641182169740591
9;81;Rotated Surface;1;201.72157789991223;13.044142342809728
9;90;Rectangular Surface;1;216.27766869167107;13.900210098050417
9;81;Concatenated;2;9.821843563495618;6.641182169740591
9;81;Rotated Surface;2;201.72157789991223;13.301141998741283
9;90;Rectangular Surface;2;216.27766869167107;13.967955211928055
9;81;Concatenated;3;9.821843563495618;6.641182169740591
9;81;Rotated Surface;3;193.40381173319287;13.118941529555029
9;90;Rectangular Surface;3;216.27766869167107;13.807032722457516
9;81;Concatenated;4;9.821843563495618;6.641182169740591
9;81;Rotated Surface;4;201.72157789991223;12.812561114179577
9;90;Rectangular Surface;4;216.27766869167107;13.807032722457516
9;81;Concatenated;5;9.821843563495618;6.641182169740591
9;81;Rotated Surface;5;197.56269481655255;13.758410965923701
9;90;Rectangular Surface;5;216.27766869167107;14.081810145802251
9;81;Concatenated;6;9.821843563495618;6.641182169740591
9;81;Rotated Surface;6;201.72157789991223;12.812561114179577
9;90;Rectangular Surface;6;216.27766869167107;14.606773977659007
9;81;Concatenated;7;9.821843563495618;6.641182169740591
9;81;Rotated Surface;7;201.72157789991223;13.055723449858101
9;90;Rectangular Surface;7;203.918802476419;14.006400302773075
9;81;Concatenated;8;9.821843563495618;6.641182169740591
9;81;Rotated Surface;8;201.72157789991223;13.336822931726092
9;90;Rectangular Surface;8;216.27766869167107;13.807032722457516
9;81;Concatenated;9;9.821843563495618;6.641182169740591
9;81;Rotated Surface;9;193.40381173319287;13.118941529555029
9;90;Rectangular Surface;9;212.11878560832574;13.801934823269185
11;121;Concatenated;0;11.408808620077659;8.029432840581244
11;121;Rotated Surface;0;282.8197980328636;16.426527695950686
11;132;Rectangular Surface;0;291.1395154187812;16.865032193136493
11;121;Concatenated;1;11.408808620077659;8.029432840581244
11;121;Rotated Surface;1;289.05812265046535;16.30762103113045
11;132;Rectangular Surface;1;311.93197960894355;16.756058925876903
11;121;Concatenated;2;11.408808620077659;8.029432840581244
11;121;Rotated Surface;2;293.21700573382503;15.981812819452184
11;132;Rectangular Surface;2;311.93197960894355;16.959561279755675
11;121;Concatenated;3;11.408808620077659;8.029432840581244
11;121;Rotated Surface;3;293.21700573382503;15.835589228360579
11;132;Rectangular Surface;3;311.93197960894355;16.76390360423064
11;121;Concatenated;4;11.408808620077659;8.029432840581244
11;121;Rotated Surface;4;293.21700573382503;16.671505593837942
11;132;Rectangular Surface;4;311.93197960894355;16.959561279755675
11;121;Concatenated;5;11.408808620077659;8.029432840581244
11;121;Rotated Surface;5;293.21700573382503;15.835589228360579
11;132;Rectangular Surface;5;303.614213442226;17.100650339549567
11;121;Concatenated;6;11.408808620077659;8.029432840581244
11;121;Rotated Surface;6;293.21700573382503;15.830678876645209
11;132;Rectangular Surface;6;311.93197960894355;17.218123936629315
11;121;Concatenated;7;11.408808620077659;8.029432840581244
11;121;Rotated Surface;7;293.21700573382503;16.48253916129349
11;132;Rectangular Surface;7;291.1395154187812;17.34106458097484
11;121;Concatenated;8;11.408808620077659;8.029432840581244
11;121;Rotated Surface;8;293.21700573382503;15.826948114048294
11;132;Rectangular Surface;8;291.1395154187812;16.851933137367947
11;121;Concatenated;9;11.408808620077659;8.029432840581244
11;121;Rotated Surface;9;293.21700573382503;15.826948114048294
11;132;Rectangular Surface;9;311.93197960894355;17.201078568171827
13;169;Concatenated;0;12.962157065860717;9.416215681723873
13;169;Rotated Surface;0;401.34796590117645;19.60909889750029
13;182;Rectangular Surface;0;424.22182285965465;20.053348138635677
13;169;Concatenated;1;12.962157065860717;9.416215681723873
13;169;Rotated Surface;1;380.5535504843799;18.723884026795204
13;182;Rectangular Surface;1;420.0629702934075;20.30610868854941
13;169;Concatenated;2;12.962157065860717;9.416215681723873
13;169;Rotated Surface;2;397.1890828178168;19.251050881172024
13;182;Rectangular Surface;2;411.7451736691803;20.372022100121537
13;169;Concatenated;3;12.962157065860717;9.416215681723873
13;169;Rotated Surface;3;380.5535504844945;19.893310394399453
13;182;Rectangular Surface;3;411.74517742426565;20.07280746412611
13;169;Concatenated;4;12.962157065860717;9.416215681723873
13;169;Rotated Surface;4;390.9507581928935;18.96933347949094
13;182;Rectangular Surface;4;424.22182285965465;20.053871944046836
13;169;Concatenated;5;12.962157065860717;9.416215681723873
13;169;Rotated Surface;5;397.1890828178168;19.721348189273805
13;182;Rectangular Surface;5;424.22182285965465;19.966676762533336
13;169;Concatenated;6;12.962157065860717;9.416215681723873
13;169;Rotated Surface;6;380.55379459520566;18.758048493767635
13;182;Rectangular Surface;6;407.5865346370435;20.37503606338639
13;169;Concatenated;7;12.962157065860717;9.416215681723873
13;169;Rotated Surface;7;380.5535504843799;19.334480239272008
13;182;Rectangular Surface;7;424.22182285965465;19.59246217135084
13;169;Concatenated;8;12.962157065860717;9.416215681723873
13;169;Rotated Surface;8;380.5535504843799;19.09040828310022
13;182;Rectangular Surface;8;424.22182285965465;19.638088622137797
13;169;Concatenated;9;12.962157065860717;9.416215681723873
13;169;Rotated Surface;9;397.1890828178168;19.87121651488913
13;182;Rectangular Surface;9;407.5865346370435;19.75250376604629
3;24;Holographic;0;25.201141415356172;9.142917695658749
3;24;Holographic;1;25.201141415356172;9.142917695658749
3;24;Holographic;2;27.06729479268258;9.163248764442333
3;24;Holographic;3;25.201141415356172;9.142917695658749
3;24;Holographic;4;27.28058278058563;9.363233118079325
3;24;Holographic;5;25.201141415356172;9.142917695658749
3;24;Holographic;6;25.201141415356172;9.142917695658749
3;24;Holographic;7;25.201141415356172;9.142917695658749
3;24;Holographic;8;25.201141415356172;9.142917695658749
3;24;Holographic;9;25.201141415356172;9.142917695658749
3;94;Holographic;0;135.17944481850841;17.82355687067907
3;94;Holographic;1;129.16270377120202;17.93328000271719
3;94;Holographic;2;139.33833158991277;17.844247441036348
3;94;Holographic;3;129.162704145725;18.11434170768131
3;94;Holographic;4;129.162703770456;18.22612858534238
3;94;Holographic;5;135.17947526216273;17.588612127692542
3;94;Holographic;6;129.16270377054926;18.01953913603307
3;94;Holographic;7;133.1017145501989;17.57822478263006
3;94;Holographic;8;135.1949489958746;17.357333161442554
3;94;Holographic;9;135.17944856534254;17.743313758603716
3;354;Holographic;0;663.3576044937209;30.86640500017464
3;354;Holographic;1;675.8342494029166;29.57905378871981
3;354;Holographic;2;667.5164832361809;30.81228104360693
3;354;Holographic;3;663.3576012153579;29.876626106951903
3;354;Holographic;4;669.5959247853095;30.654994996211578
3;354;Holographic;5;667.5164832361809;29.157964371885814
3;354;Holographic;6;679.9931324862745;29.530304032621054
3;354;Holographic;7;679.9931324862745;29.8235034316305
3;354;Holographic;8;671.6753663196695;29.99836309760861
3;354;Holographic;9;669.5959247779754;30.65561238728486
-1;18;BB MSP (degenerate);0;184.10521631344727;14.778238974811519
-1;18;BB MSP (degenerate);1;187.8664164292128;17.041075083516564
-1;18;BB MSP (degenerate);2;179.60264277268308;14.866643323198028
-1;18;BB MSP (degenerate);3;187.8587563515773;15.813051458747719
-1;18;BB MSP (degenerate);4;179.94633322917082;15.59959531847928
-1;18;BB MSP (degenerate);5;183.0240295008405;16.46853785164401
-1;18;BB MSP (degenerate);6;178.8670975753104;15.493320882773709
-1;18;BB MSP (degenerate);7;179.9464349496056;16.945432057722826
-1;18;BB MSP (degenerate);8;179.94633322917082;16.677007934349582
-1;18;BB MSP (degenerate);9;179.94633322917082;14.760278342150892
-1;30;BB MSP (degenerate);0;856.7456635290605;39.331933222291134
-1;30;BB MSP (degenerate);1;842.1895727374182;35.86538683963626
-1;30;BB MSP (degenerate);2;848.4278973623412;34.4309549879617
-1;30;BB MSP (degenerate);3;835.9531993333512;40.59839922897558
-1;30;BB MSP (degenerate);4;825.5542855109476;31.685951733482423
-1;30;BB MSP (degenerate);5;842.3073557729581;38.43013371364822
-1;30;BB MSP (degenerate);6;831.7923688528745;34.67827436618472
-1;30;BB MSP (degenerate);7;856.7456635290605;35.182469051110296
-1;30;BB MSP (degenerate);8;865.0634296957799;35.65482534543924
-1;30;BB MSP (degenerate);9;827.6334819520621;33.339132798226466
-1;72;BB MSP (degenerate);0;1956.7724681213265;69.69405797970649
-1;72;BB MSP (degenerate);1;1954.6911322442852;70.99458612316606
-1;72;BB MSP (degenerate);2;1949.3236830206693;70.77633063169338
-1;72;BB MSP (degenerate);3;1954.7065420782772;75.37556209731943
-1;72;BB MSP (degenerate);4;1954.7065420782772;75.84463602387535
-1;72;BB MSP (degenerate);5;1950.6854173778745;63.391364434637964
-1;72;BB MSP (degenerate);6;1958.8654288571327;68.64557718250384
-1;72;BB MSP (degenerate);7;2033.7095761198475;80.36609489793427
-1;72;BB MSP (degenerate);8;1954.6910983079708;95.7440763937701
-1;72;BB MSP (degenerate);9;1954.6912217119038;80.28489572217408
-1;144;BB MSP (degenerate);0;3909.36584671536;128.67862173761984
-1;144;BB MSP (degenerate);1;3909.3966184297183;126.65228716778711
-1;144;BB MSP (degenerate);2;4063.2445207993674;129.09951307425217
-1;144;BB MSP (degenerate);3;3909.3658467146724;134.06655288714256
-1;144;BB MSP (degenerate);4;3909.3660908845604;129.2885889765741
-1;144;BB MSP (degenerate);5;3909.36585052882;131.34172910674954
-1;144;BB MSP (degenerate);6;3909.36585052882;134.40108619766858
-1;144;BB MSP (degenerate);7;4007.099599174012;115.21172365614133
-1;144;BB MSP (degenerate);8;4183.852130216798;140.19017932133687
-1;144;BB MSP (degenerate);9;3909.3658467143287;143.77373511915647
